n,target_tw,achieved_tw,naming,arity,alpha,determinism,seed,variant_index,num_edges,num_nodes,bn_index,query_index,query_vars,query_states,evidence,distance,num_evidence,probability,llm_probability,llm_response
20,3,3,confusing,range:2-3,1.0,0.0,42,0,24,20,0,0,[np.str_('H_nwuprx')],['s2'],{},0,0,0.4915374281562996,0.49157071,Final Answer: P(H_nwuprx=s2) = 0.49157071
20,3,3,confusing,range:2-3,1.0,0.0,42,0,24,20,0,1,[np.str_('H_886e1g')],['s0'],{np.str_('K_kx9xcv'): 's0'},3,1,0.7227169614307204,0.7226444658,Final Answer: P(H_886e1g=s0 | K_kx9xcv=s0) = 0.7226444658
20,3,3,confusing,range:2-3,1.0,0.0,42,0,24,20,0,2,[np.str_('I_xahxkq')],['s0'],{np.str_('Z_7j9n4o'): 's1'},2,1,0.4951179208143876,0.4951462,Final Answer: P(I_xahxkq=s0 | Z_7j9n4o=s1) = 0.4951462
20,3,3,confusing,range:2-3,1.0,0.0,42,0,24,20,0,3,[np.str_('I_hl76wx')],['s2'],{},0,0,0.3242575906855588,0.324269856957,Final Answer: P(I_hl76wx=s2) = 0.324269856957
20,3,3,confusing,range:2-3,1.0,0.0,42,0,24,20,0,4,[np.str_('K_29m5gv')],['s0'],"{np.str_('Y_nizbt1'): 's1', np.str_('L_vy01po'): 's2'}",3,2,0.42309948358023397,,
20,3,3,confusing,range:2-3,1.0,0.0,42,0,24,20,0,5,[np.str_('K_29m5gv')],['s0'],{},0,0,0.42295359161215806,0.4229733257,Final Answer: P(K_29m5gv=s0) = 0.4229733257
20,3,3,confusing,range:2-3,1.0,0.0,10015,1,24,20,1,0,[np.str_('S_55d3wo')],['s1'],"{np.str_('U_bx3bu6'): 's0', np.str_('K_29m5gv'): 's1'}",2,2,0.3778380919681344,,
20,3,3,confusing,range:2-3,1.0,0.0,10015,1,24,20,1,1,[np.str_('E_8v08a8')],['s0'],"{np.str_('H_nwuprx'): 's0', np.str_('O_gh8nq9'): 's1'}",2,2,0.7649817040691727,0.764973,"Final Answer: P(E_8v08a8=s0 | H_nwuprx=s0, O_gh8nq9=s1) = 0.764973"
20,3,3,confusing,range:2-3,1.0,0.0,10015,1,24,20,1,2,[np.str_('Y_nizbt1')],['s0'],{},0,0,0.38628832770854205,0.3863072207,Final Answer: P(Y_nizbt1=s0 | ) = 0.3863072207
20,3,3,confusing,range:2-3,1.0,0.0,10015,1,24,20,1,3,[np.str_('Y_nizbt1')],['s1'],"{np.str_('O_cguird'): 's0', np.str_('K_kx9xcv'): 's0'}",2,2,0.601796190963733,0.601808,"Final Answer: P(Y_nizbt1=s1 | O_cguird=s0, K_kx9xcv=s0) = 0.601808"
20,3,3,confusing,range:2-3,1.0,0.0,10015,1,24,20,1,4,[np.str_('I_xahxkq')],['s1'],{np.str_('Z_y2oayg'): 's0'},2,1,0.18387266445185185,0.1838721,Final Answer: P(I_xahxkq=s1 | Z_y2oayg=s0) = 0.1838721
20,3,3,confusing,range:2-3,1.0,0.0,10015,1,24,20,1,5,[np.str_('I_xahxkq')],['s1'],"{np.str_('Z_7j9n4o'): 's2', np.str_('Z_y2oayg'): 's0'}",2,2,0.21083234202899262,0.210843,"Final Answer: P(I_xahxkq=s1 | Z_7j9n4o=s2, Z_y2oayg=s0) = 0.210843"
