n,target_tw,achieved_tw,naming,arity,alpha,determinism,seed,variant_index,num_edges,num_nodes,bn_index,query_index,query_vars,query_states,evidence,distance,num_evidence,probability
3,2,2,confusing,range:2-3,1.0,0.0,42,0,3,3,0,0,"[np.str_('U_bx3bu6'), np.str_('K_kx9xcv')]","['s2', 's1']",{},0,0,0.038597426538161846
3,2,2,confusing,range:2-3,1.0,0.0,42,0,3,3,0,1,"[np.str_('G_2ohusw'), np.str_('U_bx3bu6')]","['s0', 's0']",{},0,0,0.12684165169907516
3,2,2,confusing,range:2-3,1.0,0.0,42,0,3,3,0,2,"[np.str_('G_2ohusw'), np.str_('K_kx9xcv')]","['s0', 's1']",{},0,0,0.4408601588710516
3,2,2,confusing,range:2-3,1.0,0.0,42,0,3,3,0,3,"[np.str_('U_bx3bu6'), np.str_('K_kx9xcv')]","['s2', 's0']",{},0,0,0.024871410649126707
3,2,2,confusing,range:2-3,1.0,0.0,42,0,3,3,0,4,"[np.str_('G_2ohusw'), np.str_('U_bx3bu6')]","['s0', 's2']",{np.str_('K_kx9xcv'): 's1'},1,1,0.08638319808514154
3,2,2,confusing,range:2-3,1.0,0.0,42,0,3,3,0,5,"[np.str_('U_bx3bu6'), np.str_('K_kx9xcv')]","['s2', 's2']",{np.str_('G_2ohusw'): 's0'},1,1,0.32942107963693285
3,2,2,confusing,range:2-3,1.0,0.0,10015,1,3,3,1,0,"[np.str_('K_kx9xcv'), np.str_('U_bx3bu6')]","['s0', 's0']",{np.str_('G_2ohusw'): 's0'},1,1,0.214282611047824
3,2,2,confusing,range:2-3,1.0,0.0,10015,1,3,3,1,1,"[np.str_('G_2ohusw'), np.str_('U_bx3bu6')]","['s2', 's0']",{},0,0,0.011415267074344872
3,2,2,confusing,range:2-3,1.0,0.0,10015,1,3,3,1,2,"[np.str_('K_kx9xcv'), np.str_('G_2ohusw')]","['s2', 's2']",{},0,0,0.016509957889192597
3,2,2,confusing,range:2-3,1.0,0.0,10015,1,3,3,1,3,"[np.str_('K_kx9xcv'), np.str_('U_bx3bu6')]","['s0', 's0']",{},0,0,0.22283266130049822
3,2,2,confusing,range:2-3,1.0,0.0,10015,1,3,3,1,4,"[np.str_('K_kx9xcv'), np.str_('G_2ohusw')]","['s0', 's2']",{np.str_('U_bx3bu6'): 's0'},1,1,0.006857983011447569
3,2,2,confusing,range:2-3,1.0,0.0,10015,1,3,3,1,5,"[np.str_('U_bx3bu6'), np.str_('K_kx9xcv')]","['s0', 's0']",{np.str_('G_2ohusw'): 's0'},1,1,0.214282611047824
